id,grade,subject,question,model_answer,keywords,max_score,source
2,10,Chemistry,Explain Foreword,"The educational objectives of the contemporary world are becoming more complex along with the economic, social, cultural and technological development. The learning and teaching process too is changing in relation to human experiences, technological differences, research and new indices. Therefore, it is required to produce the textbook by including subject related information according to the objectives in the syllabus in order to maintain the teaching process by organizing learning experiences that suit to the learner needs. The textbook is not merely a learning tool for the learner. It is a blessing that contributes to obtain a higher education along with a development of conduct and attitudes, to develop values and to obtain learning experiences. The government in its realization of the concept of free education has offered you all the textbooks from grades 1-11. I would like to remind you that you should make the maximum use of these textbooks and protect them well. I sincerely hope that this textbook would assist you to obtain the expertise to become a virtuous citizen with a complete personality who would be a valuable asset to the country. I would like to bestow my sincere thanks on the members of the editorial and writer boards as well as on the staff of the Educational Publications Department who have strived to offer this textbook to you. W. M. Jayantha Wickramanayaka, Commissioner General of Educational Publications, Educational Publications Department, Isurupaya,",textbook;educational;learning;experiences;educational publications;publications;would;obtain;learner;learning experiences;teaching process;would like,,
3,10,Chemistry,Explain Introduction,"This textbook was compiled by the Educational Publications Department in accordance with the syllabus prepared by the National Institute of Education for the use of Grade 10 students in the Sri Lankan school system with effect from 2015. An effort has made here to arrange the subject content to suit the the national educational goals, common national competencies, the objectives of teaching science and the content of the syllabus. The subject of science directs the student towards a more active learning process in a manner as to develop knowledge, skills and attitudes needed for a developmental scientific thought. Each chapter is compiled based on the three main subject areas that comprise the Science subject; Biology, Chemistry and Physics. Pictures, charts, graphs, activities and assignments are included to enable the easy understanding of the related concepts of the subject. At the end of each chapter, a summary was included and it provides the opportunity to identify the basic concepts of each chapter and to revise the subject matter. Furthermore, there is a series of exercises at the end of each chapter. It will contribute to measure the expected learning outcomes through a self evaluation. Activities, self evaluative questions, solved examples, assignments and exercises are planned in a manner as to develop the higher order skills such as It enables the students to develop knowledge as well as the higher order skills such as comprehension, application, analysis, synthes",subject;chapter;develop;skills;national;science;compiled;higher order skills;order skills;higher order;develop knowledge;self,,
4,10,Chemistry,Explain Department of Provincial Education North Central,"3. W. G. A. Raveendra Weragoda - Teacher Service Sri Rahula National College - Allawwa 4. G. G. S. Godekumara - In service Advisor Zonal Education office - Dehiattakandiya 5. H. Kirthi Jayalath - In service Advisor Zonal Education office - Galle 6. W. M. Warnasiri - In service Advisor Zonal Education office - Hambantota 7. Ananda Athukorala - Teacher Service Devi Balika Vidyalaya, Colombo 8. K. N. N. Thilakawardana - Teacher Service Ananda College, Colombo 9. E. K. Manel De Silva - Teacher Service Seethawaka National School, Avissawella. 10. A.W. A. Siriwardana - In service Advisor Retired 11. M. A. P. Munasingha - Chief Project Officer Retired",service;teacher service;service advisor;advisor;teacher;office;education office;service advisor zonal;zonal;advisor zonal education;advisor zonal;zonal education office,,
5,10,Chemistry,Explain National Institute of Education,"12. A. M. T. Pigera - Assistant Director of Education Retired 13. J. Emmanual - In service Advisor Zonal Education Office, Colombo. 14. N. Vageeshamurthi - Director of Education Retired 15. K. Shantha Kumar - In service Advisor Zonal Education Office, Haliela",education;education retired;director education retired;director education;retired;office;service advisor zonal;service advisor;service;education office;advisor zonal education;advisor zonal,,
6,10,Chemistry,Explain Technical Assistance,1. Asanka Aravinda Mahakumarage - Educational Publications Department 2. W. A. Poorna Jayamini - Educational Publications Department 3. Hasala Chathuranga Vithanage - Educational Publications Department 4. A. Asha Amali Weerarathna - Educational Publications Department ix,publications department;publications;educational publications department;educational publications;educational;department;department poorna jayamini;department poorna;department ix;department hasala chathuranga;department hasala;department asha amali,,
7,10,Chemistry,Explain Contents,"Page 1. Chemical basis of life 01 1.1 Cabohydrates 02 1.2 Proteins 07 1.3 Lipids 10 1.4 Nucleic acids 11 1.5 Water 14 1.6 Minerals 15 1.7 Vitamins 19 2. Motion in a straight line 23 2.1 Distance and displacement 23 2.2 Speed 27 2.3 Velocity 29 2.4 Acceleration 32 2.5 Displacement - Time graphs 36 2.6 Velocity - Time graphs 37 2.7 Gravitational acceleration 43 3. Structure of matter 52 3.1 The planetary model of the atom 53 3.2 Electronic configuration 55 3.3 Modern periodic table 57 3.4 Isotopes 61 3.5 Patterns seen in the periodic table 62 3.6 Metals, non metals and metalloids 65 3.7 Chemical formulae 74 xi 4. Newtons laws of motion 84 4.1 Nature of force and its effects 84 4.2 Momentum 93 4.3 Mass and weight 95 5. Friction 98 5.1 Nature of friction 98 5.2 Static, limiting and dynamic states of frictional forces 99 5.3 Factors affecting the limiting frictional force 101 5.4 Practical applications of friction 105 6. Structure and functions of the plant and animal cell 110 6.1 Basic unit of life 110 6.2 Concept of the cell 110 6.3 Structure of cells 111 6.4 Cell organelles and structures present in a cell 115 6.5 Cell growth and cell division 118 7. Quantification of elements and compounds 123 7.1 Relative atomic mass Ar 123 7.2 Relative molecular mass Mr 126 7.3 Avogadro constant 129 7.4 Mole 130 8. Characteristics of organisms 139 8.1 Cellular organization 140 8.2 Nutrition 143 8.3 Respiration 145 xii 8.4 Irritability and Co-ordination 147 8.5 Excretion 147 8.6 Movement 148 ",cell;110;friction;123 relative;friction 98;123;cell 110;time graphs;structure;147;graphs;periodic table,,
8,10,Chemistry,Explain Biology,"Chemical Basis of Life 01 The bodies of all organisms are composed of variety of chemical compounds. These chemical compounds are formed by the bonding of naturally existing elements in different ways. There are only about 25 elements in the living body out of the 92 elements present in nature. They are present at different locations in the body in different forms. The most common 4 elements in the living body are Carbon, Hydrogen, Oxygen and Nitrogen. Other than above Sulphur, Phosphorous, Sodium, Potassium, Calcium, Magnesium, Iron and Chlorine are essential for the survival of organisms. Figure 1.1 shows the percentages of main elements in the human body. 3 4 10",elements;elements living;elements living body;body;chemical compounds;living body;chemical;different;living;organisms;present;compounds formed bonding,,
10,10,Biology,Explain Element Percentage Locations present in human body,"based on mass O 65 All fluids, tissues, bones, proteins C 18 everywhere in the body H 10 All fluids, tissues, bones, proteins N 3 All fluids, tissues, proteins Ca 1.5 Brain, lungs, kidneys, liver, heart, thyroid gland, muscles, bones P 1.0 Urine, bones K 0.35 Enzymes S 0.25 Proteins Na 0.15 All fluids, tissues Mg 0.05 Brain, lungs, kidneys, liver, heart, thyroid gland, muscles Cl 0.2 Skin cells Fe 0.007 Haemoglobin in blood I 0.0002 Hormones in thyroid gland 1'1 Carbohydrates This is the most abundant organic compound on earth. They are produced during the photosynthesis of green plants. Potato, sweet potato, grains, sugar, flour are some of the examples for foods which contain carbohydrates. The main elemental composition of carbohydrates is Carbon C, Hydrogen H and Oxygen O. Hydrogen and oxygen combine in 2:1 ratio in carbohydrates.",fluids;fluids tissues;bones;thyroid gland;gland;carbohydrates;thyroid;tissues;proteins;brain lungs kidneys;kidneys liver heart;liver heart thyroid,,
14,10,Chemistry,Explain Test for Glucose,"y A solution of Glucose is obtained into a test tube. y Few drops of Benedict solution to the above solution is added. y The above solution is immersed in a water bath and heated. y Can observe colour changes as below. Blue Green Green yellow Orange Brick red precipitate Test for Sucrose y A sucrose solution is obtained into a test tube. y Few drops of Benedict solution is added to it. y The test tube is immersed in a water bath and heated. No colour change. y Few drops of diluted Sulphuric acid H SO  is added to a freshly 2 4 prepared sugar solution and heated. y Next few drops of Benedict solution is added to it. y Can observe colour changes as below. Blue Green Green yellow Orange Brick red precipitate 6 For free distribution 7 For free distribution 1.2 Proteins Protein is an essential constituent in all living cells. CarbonC Hydrogen H, Oxygen O and Nitrogen N are always present in proteins. Sometimes Sulphur can also be present. 17 of the mature human body is composed of proteins. Protein is a complex molecule made up of polymerized amino acid molecules. Meat, fish, egg white cereals are some of the foods rich with proteins.",solution;drops;benedict;solution added;drops benedict;drops benedict solution;benedict solution;green;test;added;test tube;proteins,,
15,10,Chemistry,Explain Carboxyl,"weuhsfkAda mlidnKo av NH C COOH ldfndlais,a ldKavh 2 group group H R-represents a group containing both Carbon C and Hydrogen H. Due to the change in R group, 20 different amino acids are present. All proteins present in organisms from bacteria to human are made up of these 20 different amino acids combined in different sequences. The simplest Amino acid is Glycine. Here Hydrogen H is present as the R group.",group;amino;different amino;20 different;different amino acids;20 different amino;amino acids;present;different;acids;hydrogen;20,,
